merchantidentifier,first_transaction_amount,time_to_first_txn,org_fraud_prevalence,loc_hmg_coeff_0.25,loc_hmg_coeff_0.5,loc_hmg_coeff_0.75,loc_hmg_coeff_1.0,is_fraud,fraud_prob,IP_Address_organization,IP_Address_Location,Pierced_IP_address_organization,Pierced_IP_address_location
19970949879,750.0,0.0,0.0240760923412,1.0,0.0,0.0,0.0,1,0.955555555556,VERIZON WIRELESS,Unknown,VERIZON WIRELESS,Unknown
19958846581,24.0,6.0,1.0,0.0,0.0,0.0,1.0,1,0.955555555556,WEBNX,CALIFORNIA,WEBNX,CALIFORNIA
19857268953,20.0,8.0,0.083615819209,0.0,1.0,0.0,0.0,1,0.794444444444,T-MOBILE USA,ILLINOIS,T-MOBILE USA,ILLINOIS
19931942059,500.0,0.0,0.083615819209,0.0,1.0,0.0,0.0,1,0.766913580247,T-MOBILE USA,FLORIDA,T-MOBILE USA,FLORIDA
19996963681,200.0,3.0,0.0246470983643,0.0,0.0,0.0,1.0,1,0.716049382716,COMCAST CABLE,CONNECTICUT,COMCAST CABLE,CONNECTICUT
19834175753,700.0,3.0,0.0466666666667,0.0,0.0,0.0,1.0,1,0.711111111111,AT&T WIRELESS,CALIFORNIA,AT&T WIRELESS,CALIFORNIA
19971066613,12.0,7.0,0.0252763094666,0.0,0.0,0.0,1.0,1,0.688888888889,TIME WARNER CABLE,FLORIDA,TIME WARNER CABLE,FLORIDA
19908552551,4873.5,27.0,0.0293785310734,0.0,0.0,0.0,1.0,1,0.622222222222,COX COMMUNICATIONS,ARIZONA,COX COMMUNICATIONS,ARIZONA
19858791593,3400.0,3.0,0.0241172898412,0.0,0.0,0.0,1.0,1,0.6,AT&T U-VERSE,MICHIGAN,AT&T U-VERSE,MICHIGAN
19991202979,1975.0,6.0,0.0246470983643,0.0,0.0,0.0,1.0,1,0.596296296296,COMCAST CABLE,PENNSYLVANIA,COMCAST CABLE,PENNSYLVANIA
19821806853,11563.15,5.0,0.0246470983643,0.0,0.0,0.0,1.0,1,0.577777777778,COMCAST CABLE,CALIFORNIA,COMCAST CABLE,CALIFORNIA
19888491771,361.68,1.0,0.0172359266287,0.0,0.0,0.0,1.0,1,0.577777777778,CENTURYLINK,WASHINGTON,CENTURYLINK,WASHINGTON
19829397747,60.0,0.0,0.0240760923412,0.0,0.0,0.0,1.0,1,0.555555555556,VERIZON WIRELESS,OREGON,VERIZON WIRELESS,OREGON
19977094409,8000.0,0.0,0.0240760923412,0.0,0.0,0.0,1.0,1,0.555555555556,VERIZON WIRELESS,MASSACHUSETTS,VERIZON WIRELESS,MASSACHUSETTS
19938567999,1590.0,3.0,0.0246470983643,0.0,0.0,0.0,1.0,1,0.555555555556,COMCAST CABLE,VIRGINIA,COMCAST CABLE,VIRGINIA
19800816539,225.0,12.0,0.0246470983643,0.0,0.0,0.0,1.0,1,0.555555555556,COMCAST CABLE,WASHINGTON,COMCAST CABLE,WASHINGTON
19887358997,571.89,0.0,0.0240760923412,0.0,0.0,0.0,1.0,1,0.541481481481,VERIZON WIRELESS,TEXAS,VERIZON WIRELESS,TEXAS
19831622785,3525.0,6.0,0.0293785310734,0.0,0.0,0.0,1.0,1,0.533333333333,COX COMMUNICATIONS,ARIZONA,COX COMMUNICATIONS,ARIZONA
19860994735,80.12,0.0,0.0252442996743,1.0,0.0,0.0,0.0,1,0.533333333333,SUDDENLINK COMMUNICATIONS,ARKANSAS,SUDDENLINK COMMUNICATIONS,ARKANSAS
19899275695,1120.0,2.0,0.0172359266287,0.0,0.0,0.0,1.0,1,0.533333333333,CENTURYLINK,COLORADO,CENTURYLINK,COLORADO
19814053899,1621.29,9.0,0.0252763094666,0.0,0.0,0.0,1.0,1,0.518518518519,TIME WARNER CABLE,FLORIDA,TIME WARNER CABLE,FLORIDA
19826427283,19981.0,61.0,0.0199203187251,0.0,0.0,0.0,1.0,1,0.511111111111,WINDSTREAM COMMUNICATIONS,GEORGIA,WINDSTREAM COMMUNICATIONS,GEORGIA
19902122019,3500.0,8.0,0.0246470983643,0.0,0.0,0.0,1.0,1,0.496666666667,COMCAST CABLE,TEXAS,COMCAST CABLE,TEXAS
19813827473,900.0,0.0,0.0252763094666,0.0,0.0,0.0,1.0,1,0.488888888889,TIME WARNER CABLE,NEW YORK,TIME WARNER CABLE,NEW YORK
19915945709,10100.0,8.0,0.0252763094666,0.0,0.0,0.0,1.0,1,0.466666666667,TIME WARNER CABLE,NEW YORK,TIME WARNER CABLE,NEW YORK
19991375523,502.28,2.0,0.0252763094666,0.0,0.0,0.0,1.0,1,0.408978675645,TIME WARNER CABLE,TEXAS,TIME WARNER CABLE,TEXAS
19920030889,235.0,7.0,0.0246470983643,0.0,0.0,0.0,1.0,1,0.4,COMCAST CABLE,CALIFORNIA,COMCAST CABLE,CALIFORNIA
19944479075,9857.16,1.0,0.0240760923412,0.0,0.0,0.0,1.0,1,0.4,VERIZON WIRELESS,GEORGIA,VERIZON WIRELESS,GEORGIA
19866832761,28.6,1.0,0.0246470983643,0.0,0.0,0.0,1.0,1,0.387910854578,COMCAST CABLE,MARYLAND,COMCAST CABLE,MARYLAND
19888510431,299.95,3.0,0.0293785310734,0.0,1.0,0.0,0.0,1,0.377777777778,COX COMMUNICATIONS,ARIZONA,COX COMMUNICATIONS,ARIZONA
19905434129,364.76,4.0,0.0293785310734,0.0,0.0,0.0,1.0,1,0.362962962963,COX COMMUNICATIONS,LOUISIANA,COX COMMUNICATIONS,LOUISIANA
19825324753,890.0,13.0,0.0472972972973,0.0,0.0,0.0,1.0,1,0.362962962963,CONSOLIDATED COMMUNICATIONS,TEXAS,CONSOLIDATED COMMUNICATIONS,TEXAS
19962432657,350.0,2.0,0.0246470983643,0.0,1.0,0.0,0.0,1,0.355555555556,COMCAST CABLE,DISTRICT OF COLUMBIA,COMCAST CABLE,DISTRICT OF COLUMBIA
19855824295,225.45,5.0,0.0241172898412,0.0,0.0,0.0,1.0,1,0.355555555556,AT&T U-VERSE,FLORIDA,AT&T U-VERSE,FLORIDA
19935607735,1500.0,16.0,0.0293785310734,0.0,0.0,0.0,1.0,1,0.333333333333,COX COMMUNICATIONS,LOUISIANA,COX COMMUNICATIONS,LOUISIANA
